Time,Stem_elong,Stem_thick,Cum_trusses,stem_dens ,plant_dens
2019-12-24, 18.7,8.3,,3.6,1.8
2019-12-31, 29.9,11.7,1.3,3.6,1.8
2020-01-08, 35.8,13.6,3.2,3.6,1.8
2020-01-15, 35.1,13.5,4.7,3.6,1.8
2020-01-22, 34.7,12.6,5.8,3.6,1.8
2020-01-29, 32.4,11.3,6.9,3.6,1.8
2020-02-05, 29.4,10.9,8.1,3.6,1.8
2020-02-12, 30.8,10.7,9.2,3.6,1.8
2020-02-19, 29.1,11.3,10.4,3.6,1.8
2020-02-26, 36.5,11.2,11.6,3.6,1.8
2020-03-04, 33.9,10.6,13.1,3.6,1.8
2020-03-11, 36.5,11.7,14.5,3.6,1.8
2020-03-18, 33.7,11.3,15.9,4.5,1.8
2020-03-25, 35.8,11.4,17.1,4.5,1.8
2020-04-01, 34.9,11.7,18.5,4.5,1.8
2020-04-08, 35.7,11.3,19.7,4.5,1.8
2020-04-15, 30.3,10.8,21.3,4.5,1.8
2020-04-22, 14,9.8,22.0,4.5,1.8
2020-04-29, NaN,,22.0,4.5,1.8
2020-05-06, NaN,,,4.5,1.8
2020-05-13, NaN,,,4.5,1.8
2020-05-20, NaN,,,4.5,1.8
2020-05-27, NaN,,,4.5,1.8
