Time,ProdA,ProdB,avg_nr_harvested_trusses,Truss development time ,Nr_fruits_ClassA,Weight_fruits_ClassA,Nr_fruits_ClassB,Weight_fruits_ClassB
2020-02-19,0.07,0.0,0.1,50,,218.0,0,0
2020-02-24,0.97,0.0,1.0,55,158.0,1343.0,0,0
2020-02-28,0.39,0.0,0.9,53,145.0,1255.0,0,0
2020-03-04,0.82,0.0,1.5,54,239.0,2207.0,0,0
2020-03-09,0.87,0.0,1.0,53,168.0,1585.0,0,0
2020-03-13,0.45,0.0,0.9,53,121.0,1138.0,0,0
2020-03-18,0.5,0.0,1.0,51,113.0,1138.0,0,0
2020-03-23,0.28,0.0,0.7,52,63.0,510.2,0,0
2020-03-27,0.44,0.0,0.8,50,78.0,668.0,0,0
2020-04-01,0.4,0.0,0.7,51,116.0,1124.0,0,0
2020-04-06,0.68,0.0,1.0,52,146.0,1406.0,0,0
2020-04-10,0.49,0.0,0.9,48,144.0,1402.0,0,0
2020-04-15,0.69,0.0,1.0,49,162.0,1517.0,0,0
2020-04-20,0.65,0.0,0.7,48,116.0,1067.0,0,0
2020-04-24,0.64,0.0022,1.2,47,194.0,1822.0,0,0
2020-04-29,0.65,0.0028,1.2,47,195.0,1920.0,0,0
2020-05-04,0.81,0.0065,1.2,47,151.0,1446.0,0,0
2020-05-08,0.51,0.0058,0.9,45,113.0,1067.0,15,136
2020-05-13,0.85,0.073,1.5,44,141.0,1359.0,22,218
2020-05-18,0.52,0.0967,0.7,43,90.0,740.0,0,0
2020-05-22,1.07,0.2621,1.3,41,164.0,1489.0,0,0
2020-05-26,0.64,0.0097,0.8,41,60.0,613.0,0,0
2020-05-29,0.97,0.1,1.2,40,149.0,1445.0,0,0
