Time,ProdA,ProdB,avg_nr_harvested_trusses,Truss development time ,Nr_fruits_ClassA,Weight_fruits_ClassA,Nr_fruits_ClassB,Weight_fruits_ClassB
2020-02-19,0.05,0.1,0.1,50,0,70.0,0,0
2020-02-24,0.31,0.0,1.1,54,177,1750.0,0,0
2020-02-28,0.31,0.0,0.7,52,117,1102.0,0,0
2020-03-04,0.79,0.0,1.1,54,212,2213.0,0,0
2020-03-09,0.42,0.0,0.8,57,151,1349.0,0,0
2020-03-13,0.27,0.0,0.4,56,82,832.0,0,0
2020-03-18,0.68,0.0,1.0,57,188,1944.0,0,0
2020-03-23,0.62,0.0,1.2,55,213,1865.5,0,0
2020-03-27,0.35,0.0,0.3,60,54,560.0,0,0
2020-04-01,0.44,0.0,0.5,59,109,975.0,0,0
2020-04-06,0.44,0.0,0.2,58,39,374.0,0,0
2020-04-10,0.51,0.0,1.1,59,186,1626.0,0,0
2020-04-15,0.93,0.0,1.0,58,176,1609.0,0,0
2020-04-20,0.73,0.0,1.3,56,239,2040.0,0,0
2020-04-24,0.47,0.0,0.6,56,106,1065.0,0,0
2020-04-29,1.02,0.0,1.6,53,277,2596.0,0,0
2020-05-04,0.7,0.0,1.2,51,201,1991.0,0,0
2020-05-08,0.61,0.0,1.0,50,158,1557.0,0,0
2020-05-13,0.74,0.0,1.1,49,157,1628.0,0,0
2020-05-18,1.05,0.00322,1.2,43,121,1420.0,0,0
2020-05-22,0.34,0.0,1.5,46,88,963.0,44,488
2020-05-26,0.8,0.0,0.7,39,41,505.0,0,0
2020-05-29,0.93,0.6,2.2,36,86,1291.0,20,245
