Time,EC_slab1,EC_slab2,WC_slab1,WC_slab2,t_slab1,t_slab2
2019-12-16 00:00:00.000000000,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 00:04:59.808000285,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 00:09:59.615999939,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 00:15:00.287999887,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 00:20:00.096000172,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 00:24:59.903999827,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 00:29:59.712000112,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 00:35:00.384000060,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 00:40:00.191999714,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 00:45:00.000000000,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 00:49:59.808000285,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 00:54:59.615999939,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 01:00:00.287999887,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 01:05:00.096000172,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 01:09:59.903999827,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 01:14:59.712000112,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 01:20:00.384000060,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 01:25:00.191999714,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 01:30:00.000000000,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 01:34:59.808000285,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 01:39:59.615999939,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 01:45:00.287999887,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 01:50:00.096000172,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 01:54:59.903999827,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 01:59:59.712000112,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 02:05:00.384000060,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 02:10:00.191999714,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 02:15:00.000000000,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 02:19:59.808000285,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 02:24:59.615999939,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 02:30:00.287999887,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 02:35:00.096000172,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 02:39:59.903999827,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 02:44:59.712000112,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 02:50:00.384000060,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 02:55:00.191999714,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 03:00:00.000000000,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 03:04:59.808000285,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 03:09:59.615999939,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 03:15:00.287999887,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 03:20:00.096000172,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 03:24:59.903999827,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 03:29:59.712000112,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 03:35:00.384000060,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 03:40:00.191999714,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 03:45:00.000000000,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 03:49:59.808000285,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 03:54:59.615999939,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 04:00:00.287999887,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 04:05:00.096000172,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 04:09:59.903999827,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 04:14:59.712000112,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 04:20:00.384000060,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 04:25:00.191999714,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 04:30:00.000000000,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 04:34:59.808000285,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 04:39:59.615999939,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 04:45:00.287999887,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 04:50:00.096000172,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 04:54:59.903999827,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 04:59:59.712000112,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 05:05:00.384000060,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 05:10:00.191999714,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 05:15:00.000000000,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 05:19:59.808000285,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 05:24:59.615999939,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 05:30:00.287999887,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 05:35:00.096000172,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 05:39:59.903999827,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 05:44:59.712000112,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 05:50:00.384000060,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 05:55:00.191999714,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 06:00:00.000000000,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 06:04:59.808000285,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 06:09:59.615999939,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 06:15:00.287999887,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 06:20:00.096000172,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 06:24:59.903999827,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 06:29:59.712000112,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 06:35:00.384000060,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 06:40:00.191999714,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 06:45:00.000000000,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 06:49:59.808000285,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 06:54:59.615999939,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 07:00:00.287999887,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 07:05:00.096000172,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 07:09:59.903999827,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 07:14:59.712000112,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 07:20:00.384000060,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 07:25:00.191999714,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 07:30:00.000000000,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 07:34:59.808000285,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 07:39:59.615999939,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 07:45:00.287999887,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 07:50:00.096000172,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 07:54:59.903999827,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 07:59:59.712000112,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 08:05:00.384000060,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 08:10:00.191999714,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 08:15:00.000000000,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 08:19:59.808000285,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 08:24:59.615999939,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 08:30:00.287999887,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 08:35:00.096000172,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 08:39:59.903999827,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 08:44:59.712000112,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 08:50:00.384000060,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 08:55:00.191999714,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 09:00:00.000000000,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 09:04:59.808000285,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 09:09:59.615999939,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 09:15:00.287999887,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 09:20:00.096000172,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 09:24:59.903999827,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 09:29:59.712000112,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 09:35:00.384000060,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
2019-12-16 09:40:00.191999714,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
