Time,ProdA,ProdB,avg_nr_harvested_trusses,Truss development time ,Nr_fruits_ClassA,Weight_fruits_ClassA,Nr_fruits_ClassB,Weight_fruits_ClassB
2020-02-19,0.01,0.0,,,0,0.0,0,0
2020-02-24,0.83,0.0,1.2,53.0,180,1714.0,0,0
2020-02-28,0.39,0.0,0.7,52.0,89,852.0,0,0
2020-03-04,0.8,0.0,1.3,51.0,212,2031.0,0,0
2020-03-09,0.34,0.0,0.3,54.0,44,442.0,0,0
2020-03-13,0.72,0.0,1.4,52.0,191,1820.0,0,0
2020-03-18,0.6,0.0,1.0,51.0,186,1680.0,0,0
2020-03-23,0.37,0.0,0.9,54.0,120,1039.4,0,0
2020-03-27,0.31,0.0,0.5,52.0,68,627.0,0,0
2020-04-01,0.57,0.0,0.9,55.0,141,1327.0,0,0
2020-04-06,0.25,0.0,0.4,54.0,62,576.0,0,0
2020-04-10,0.54,0.0,1.1,54.0,177,1543.0,0,0
2020-04-15,0.63,0.0,0.6,53.0,87,746.0,0,0
2020-04-20,0.6,0.0,1.4,55.0,204,1794.0,0,0
2020-04-24,0.65,0.0,1.0,51.0,159,1506.0,0,0
2020-04-29,0.89,0.0,0.8,50.0,132,1251.0,0,0
2020-05-04,0.91,0.0,1.0,51.0,160,1579.0,0,0
2020-05-08,0.67,0.0,1.0,50.0,148,1438.0,0,0
2020-05-13,0.7,0.0,1.5,49.0,209,1982.0,0,0
2020-05-18,0.58,0.0,0.6,47.0,74,722.0,0,0
2020-05-22,0.33,0.004,0.6,50.0,74,695.0,0,0
2020-05-26,0.53,0.0,0.5,48.0,67,670.0,0,0
2020-05-29,0.67,0.5832,1.8,42.0,145,1352.0,74,677
