Time,Heat_cons,ElecHigh,ElecLow,CO2_cons,Irr,Drain,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
2019-12-16,2.7561,0.918666667,0.0,0.007124739,0.0,0.0,,,,,
2019-12-17,1.1223,0.80925,0.0,0.0082375,0.0,0.0,,,,,
2019-12-18,0.9948,0.66825,0.54,0.012771667,0.0,0.0,,,,,
2019-12-19,0.0957,0.864,0.54,0.027889167,0.0,0.0,,,,,
2019-12-20,1.7175,0.8775,0.551333333,0.025095,0.6565,0.0,,,,,
2019-12-21,2.2839,0.87075,0.135,0.024883333,0.0,0.0,,,,,
2019-12-22,0.5472,1.047916667,0.189,0.019515833,0.0,0.0,,,,,
2019-12-23,1.6572,1.19,0.0,0.016420833,0.2626,0.0,,,,,
2019-12-24,1.7511,1.201333333,0.0,0.017055833,1.1817,0.0,,,,,
2019-12-25,1.683,1.19,0.0,0.01204,4.7268,0.0,,,,,
2019-12-26,2.5671,1.201333333,0.0,0.009535833,1.5756,0.0,,,,,
2019-12-27,2.1432,1.201333333,0.0,0.012195833,1.5756,0.0,,,,,
2019-12-28,2.9772,1.201333333,0.0,0.009870833,0.7878,0.0,,,,,
2019-12-29,3.6384,1.201333333,0.0,0.010474167,0.7878,0.0,,,,,
2019-12-30,4.7106,1.110666667,0.136,0.016101667,0.7878,0.0,,,,,
2019-12-31,2.3508,1.407,0.081,0.0147575,2.3634,1.0,,,,,
2020-01-01,3.3297,1.462,0.136,0.0160275,2.3634,0.87,,,,,
2020-01-02,3.9537,1.473333333,0.136,0.017045833,2.3634,0.83,,,,,
2020-01-03,3.7311,1.462,0.136,0.023416667,1.8382,0.49,,,,,
2020-01-04,3.0975,1.462,0.136,0.02565,1.8382,0.51,,,,,
2020-01-05,3.2661,1.462,0.136,0.020455,1.8382,0.35,,,,,
2020-01-06,2.6088,1.462,0.544,0.0413275,2.1008,0.57,,,,,
2020-01-07,1.9659,1.36,0.544,0.034661667,2.1008,0.68,,,,,
2020-01-08,1.4247,1.461916667,0.544,0.052185,2.1008,0.55,,,,,
2020-01-09,1.8804,1.462,0.544,0.051923333,2.1008,0.65,,,,,
2020-01-10,2.3859,1.462,0.544,0.042994167,2.1008,0.71,,,,,
2020-01-11,3.0525,1.473333333,0.544,0.044068333,2.1008,0.39,,,,,
2020-01-12,2.8341,1.462,0.544,0.047726667,2.3634,0.47,,,,,
2020-01-13,1.6479,1.36,0.884,0.0450825,2.626,0.9,,,,,
2020-01-14,2.295,1.462,0.884,0.054881667,2.626,0.726363636,,,,,
2020-01-15,2.6283,0.905166667,0.51975,0.039848333,2.626,0.67,,,,,
2020-01-16,1.5339,1.462,0.884,0.04322,2.626,0.87,,,,,
2020-01-17,2.4228,1.337333333,0.884,0.051169167,2.626,0.58,,,,,
2020-01-18,2.2023,1.473333333,0.884,0.051039167,2.626,0.57,,,,,
2020-01-19,2.0106,1.462,0.884,0.042390833,2.8886,0.72,,,,,
2020-01-20,2.4981,1.462,0.884,0.0362325,2.8886,0.75,,,,,
2020-01-21,2.781,1.473333333,0.884,0.036738333,2.8886,0.68,,,,,
2020-01-22,2.3283,1.473333333,0.884,0.037320833,2.8886,0.83,,,,,
2020-01-23,1.404,1.473333333,0.884,0.037936667,2.8886,0.72,,,,,
2020-01-24,2.4696,1.462,0.884,0.035574167,2.8886,0.67,,,,,
2020-01-25,3.1452,1.496,0.884,0.036076667,2.8886,0.52,,,,,
2020-01-26,1.4349,1.496,0.884,0.043914167,2.8886,0.77,,,,,
2020-01-27,1.5651,1.269333333,0.884,0.051376667,2.8886,0.5,,,,,
2020-01-28,2.9538,1.462,0.884,0.055005,2.8886,0.53,,,,,
2020-01-29,2.2737,1.473333333,0.884,0.057493333,2.8886,0.38,,,,,
2020-01-30,1.9962,1.32425,0.884,0.051380833,3.1512,0.81,,,,,
2020-01-31,2.3193,1.473333333,0.71225,0.05053,3.1512,0.72,,,,,
2020-02-01,1.764,1.484666667,0.71225,0.0617075,3.4138,1.08,,,,,
2020-02-02,2.4204,1.473333333,0.71225,0.046169167,3.939,1.08,,,,,
2020-02-03,1.3974,1.462,0.719,0.056119167,3.939,1.33,,,,,
2020-02-04,3.3327,1.462,0.719,0.05273,3.939,1.01,,,,,
2020-02-05,1.1598,1.473333333,0.719,0.040436667,3.939,1.07,,,,,
2020-02-06,1.2222,1.462,0.884,0.048825,3.939,1.22,,,,,
2020-02-07,1.6401,1.462,0.884,0.047160833,3.939,0.99,,,,,
2020-02-08,2.6085,1.462,0.884,0.041645833,3.939,1.11,,,,,
2020-02-09,3.651,1.462,0.884,0.062796667,3.939,0.98,,,,,
2020-02-10,2.7837,1.462,0.884,0.070030833,3.939,0.98,,,,,
2020-02-11,3.1578,1.473333333,0.884,0.07028,3.939,1.14,,,,,
2020-02-12,2.6451,1.462,0.884,0.065980833,4.4642,1.13,,,,,
2020-02-13,3.1899,1.462,0.884,0.043008333,5.7772,2.12,,,,,
2020-02-14,2.0688,1.462,0.884,0.0506125,5.7772,2.53,,,,,
2020-02-15,2.088,1.473333333,0.816,0.0536625,5.5146,2.16,,,,,
2020-02-16,3.4248,1.462,0.816,0.066935833,5.5146,1.94,,,,,
2020-02-17,3.2394,1.462,0.816,0.05468,5.5146,1.8,,,,,
2020-02-18,3.1653,1.462,0.816,0.05728,5.7772,2.05,,,,,
2020-02-19,2.6715,1.45975,0.804666667,0.060411667,6.3024,2.18,,,,,
2020-02-20,3.702,1.462,0.816,0.056999167,6.3024,2.45,,,,,
2020-02-21,3.987,1.462,0.816,0.0534175,6.3024,2.42,,,,,
2020-02-22,4.2213,1.473333333,0.816,0.058146667,5.252,1.57,,,,,
2020-02-23,4.3887,1.473333333,0.816,0.05935,4.9894,1.86,,,,,
2020-02-24,4.2423,1.473333333,0.816,0.0426475,4.9894,1.58,,,,,
2020-02-25,2.5842,0.804666667,0.816,0.055064167,4.7268,1.24,,,,,
2020-02-26,3.8964,1.473333333,0.816,0.0501825,4.9894,1.08,,,,,
2020-02-27,4.5552,1.462,0.816,0.037030833,5.252,1.62,,,,,
2020-02-28,3.9042,1.473333333,0.816,0.046748333,5.7772,2.04,,,,,
2020-02-29,3.2064,1.462,0.816,0.062228333,5.7772,2.24,,,,,
2020-03-01,4.02,1.462,0.816,0.055776667,5.7772,1.74,,,,,
2020-03-02,4.0449,1.462,0.816,0.036538333,5.7772,2.09,,,,,
2020-03-03,2.4825,1.462,0.816,0.053143333,6.0398,2.17,,,,,
2020-03-04,1.5603,1.462,0.816,0.0525825,6.0398,2.16,,,,,
2020-03-05,3.8598,1.496,0.816,0.043695,6.0398,2.38,,,,,
2020-03-06,2.535,1.496,0.816,0.045445833,6.0398,2.24,,,,,
2020-03-07,2.3418,1.496,0.816,0.050531667,4.7268,0.97,,,,,
2020-03-08,3.504,1.496,0.816,0.0529275,5.5146,1.62,,,,,
2020-03-09,2.0805,1.462,0.816,0.057749167,5.5146,2.02,,,,,
2020-03-10,4.0974,1.462,0.816,0.051058333,4.4642,0.89,,,,,
2020-03-11,1.5051,1.462,0.816,0.056383333,5.5146,2.02,,,,,
2020-03-12,2.8317,1.462,0.816,0.070580833,5.5146,1.52,,,,,
2020-03-13,2.7504,1.496,0.816,0.058260833,5.5146,1.66,,,,,
2020-03-14,1.8954,1.496,0.816,0.0508075,5.5146,1.57,,,,,
2020-03-15,2.6631,1.473333333,0.811416667,0.052405,5.5146,1.62,,,,,
2020-03-16,1.0446,1.462,0.816,0.051556667,5.5146,1.57,,,,,
