Time,Stem_elong,Stem_thick,Cum_trusses,stem_dens ,plant_dens
2019-12-24, 14.2,7.2,,,1.4
2019-12-31, 26.6,9.6,1.2,4.0,1.4
2020-01-08, 35.9,12.0,3.1,4.0,1.4
2020-01-15, 33.1,11.8,4.7,4.0,1.4
2020-01-22, 38.8,11.3,6.0,4.0,1.4
2020-01-29, 35.2,11.4,7.1,4.0,1.4
2020-02-05, 39.0,11.0,8.7,4.0,1.4
2020-02-12, 38.3,10.7,9.9,4.0,1.4
2020-02-19, 36.3,10.7,11.2,4.0,1.4
2020-02-26, 33.7,10.8,12.4,4.0,1.4
2020-03-04, 31.3,10.4,13.7,4.0,1.4
2020-03-11, 35.4,11.0,15.1,4.0,1.4
2020-03-18, 35.1,10.5,16.6,4.0,1.4
2020-03-25, 31.6,10.1,17.9,4.0,1.4
2020-04-01, 33.5,10.5,19.6,4.0,1.4
2020-04-08, 32.4,8.7,21.0,4.0,1.4
2020-04-15, 32.8,8.3,22.3,8.0,1.4
2020-04-22, 8.5,6.7,23.2,8.0,1.4
2020-04-29, NaN,,23.2,8.0,1.4
2020-05-06, NaN,,,8.0,1.4
2020-05-13, NaN,,,8.0,1.4
2020-05-20, NaN,,,8.0,1.4
2020-05-27, NaN,,,8.0,1.4
