Time,irr_PH,irr_EC,irr_NH4,irr_K,irr_Na,irr_Ca,irr_Mg,irr_Si,irr_NO3,irr_Cl,irr_SO4,irr_HCO3,irr_PO4,irr_Fe,irr_Mn,irr_Zn,irr_B,irr_Cu,irr_Mo,drain_PH,drain_EC,drain_NH4,drain_K,drain_Na,drain_Ca,drain_Mg,drain_Si,drain_NO3,drain_Cl,drain_SO4,drain_HCO3,drain_PO4,drain_Fe,drain_Mn,drain_Zn,drain_B,drain_Cu,drain_Mo
2020-01-06,4.3,5.1,1.1,15.1,0.3,9.7,5.0,0.09,21.8,5.8,8.6,0.09,2.7,20.0,13.7,4.4,40.0,0.7,0.5,5.6,6.5,0.09,20.2,0.9,14.0,8.8,0.1,20.2,10.7,17.4,1.2,2.0,32.7,7.1,6.1,69.0,1.1,0.66
2020-01-20,5.6,4.0,0.5,17.1,0.4,7.2,3.5,0.09,18.4,5.8,6.1,0.2,2.2,27.4,12.4,6.0,42.0,0.8,0.47,5.6,6.2,0.09,24.1,0.9,13.7,7.3,0.3,26.9,10.0,12.6,0.1,3.0,28.9,6.7,5.7,62.0,1.0,0.46
2020-02-03,5.4,3.9,0.5,18.1,0.3,7.5,3.6,0.09,17.7,6.0,6.8,0.09,2.3,32.5,16.3,6.7,43.0,0.8,0.46,5.9,5.5,0.09,23.7,0.7,12.2,6.6,0.3,22.5,9.8,12.3,0.5,3.2,23.2,6.4,7.7,66.0,0.7,0.72
2020-02-18,5.5,4.0,0.5,17.8,0.4,7.3,3.6,0.09,17.8,6.0,6.2,0.09,2.2,32.1,15.7,5.6,39.0,0.8,0.48,5.7,5.8,0.09,24.1,0.7,11.8,6.2,0.2,24.6,9.3,11.0,0.2,3.1,28.5,10.1,9.7,64.0,1.0,0.52
2020-03-03,5.5,3.7,0.5,14.5,0.4,6.5,3.0,0.01,16.3,4.7,5.3,0.3,1.99,28.0,15.0,5.5,33.0,0.8,0.6,5.5,4.8,0.1,18.7,0.6,9.6,5.1,0.16,20.7,6.7,8.9,0.1,2.65,27.0,8.1,9.1,52.0,1.1,0.5
2020-03-18,5.7,3.9,0.5,15.9,0.4,7.3,2.6,0.009,16.2,5.0,5.8,0.3,2.22,33.0,16.0,6.0,38.0,0.8,0.4,5.4,4.7,0.09,18.1,0.5,9.0,4.2,0.12,18.9,6.7,8.3,0.09,2.48,32.0,8.3,8.4,48.0,0.9,0.7
2020-03-31,5.6,3.6,1.6,11.7,0.3,6.8,2.9,0.009,18.3,2.8,5.1,0.1,1.94,33.0,16.0,5.8,38.0,0.7,0.5,4.9,4.9,0.3,16.4,0.5,10.8,4.9,0.29,24.4,4.4,8.9,0.09,2.5,40.0,10.0,12.0,56.0,1.0,0.3
2020-04-15,5.7,3.3,0.09,12.3,0.3,7.3,3.0,0.009,17.7,2.9,5.3,0.4,2.05,32.0,16.0,6.6,41.0,0.8,0.5,6.0,4.5,0.09,15.3,0.5,9.8,5.1,0.16,22.6,3.9,8.4,0.1,2.5,30.0,7.6,9.1,56.0,0.9,0.8
2020-04-30,4.3,4.7,0.09,16.8,0.5,11.8,5.0,0.36,23.1,6.0,8.8,0.09,2.38,42.0,15.0,10.0,51.0,0.8,0.4,5.4,3.5,0.09,13.2,0.3,8.2,3.9,0.01,12.9,5.7,6.9,0.2,3.23,39.0,48.0,6.2,78.0,1.1,0.9
2020-05-12,5.7,3.7,1.1,13.0,0.3,7.5,3.1,0.01,18.7,4.4,5.5,0.09,2.07,29.0,26.0,7.5,40.0,1.1,0.6,4.3,6.1,0.09,21.0,0.6,14.4,6.4,0.5,36.1,6.9,10.7,0.09,3.08,51.0,33.0,17.0,73.0,1.4,0.2
