Time,ProdA,ProdB,avg_nr_harvested_trusses,Truss development time ,Nr_fruits_ClassA,Weight_fruits_ClassA,Nr_fruits_ClassB,Weight_fruits_ClassB
2019-02-14,0.32,0.0,,45,,717.0,0,0
2020-02-19,0.32,0.0022,1.0,45,,964.0,0,0
2020-02-24,0.72,0.0,0.6,47,82.0,655.0,0,0
2020-02-28,0.4,0.0,1.2,48,199.0,1468.0,0,0
2020-03-04,0.34,0.0,0.3,49,45.0,361.0,0,0
2020-03-09,0.49,0.0,1.1,52,184.0,1398.0,0,0
2020-03-13,0.37,0.0,0.4,49,56.0,437.0,0,0
2020-03-18,0.61,0.0,0.9,54,134.0,1040.0,0,0
2020-03-23,0.46,0.0,0.9,53,138.0,1062.2,0,0
2020-03-27,0.37,0.0,0.9,50,144.0,1256.0,0,0
2020-04-01,0.91,0.0008,2.5,48,313.0,2810.0,0,0
2020-04-06,0.3,0.0,0.6,47,40.0,420.0,0,0
2020-04-10,0.17,0.0,0.5,43,50.0,480.0,0,0
2020-04-15,0.71,0.0,1.0,47,137.0,1308.0,0,0
2020-04-20,0.66,0.0,0.7,48,116.0,1183.0,0,0
2020-04-24,0.74,0.0,1.2,46,201.0,2128.0,0,0
2020-04-29,0.81,0.0,1.1,44,204.0,2116.0,0,0
2020-05-04,0.64,0.0,1.3,45,170.0,1773.0,0,0
2020-05-08,0.59,0.0,0.8,44,82.0,793.0,0,0
2020-05-13,0.68,0.0,1.0,43,142.0,1308.0,0,0
2020-05-18,0.89,0.0,1.3,44,189.0,1708.0,0,0
2020-05-22,0.78,0.0,0.7,43,82.0,690.0,0,0
2020-05-26,0.97,0.0,1.1,41,98.0,936.0,0,0
2020-05-29,1.05,0.0,1.1,39,103.0,1127.0,0,0
