Time,Heat_cons,ElecHigh,ElecLow,CO2_cons,Irr,Drain
2019-12-16,2.19,0.7,0.0,0.009824111,0.2,0.0
2019-12-17,0.92,0.8,0.6,0.0159075,0.0,0.0
2019-12-18,1.26,0.9,0.6,0.0146975,0.0,0.0
2019-12-19,0.75,0.8,0.6,0.02363,0.1,0.0
2019-12-20,0.84,1.4,0.6,0.0216225,0.1,0.0
2019-12-21,0.92,1.5,0.9,0.026619167,0.3,0.0
2019-12-22,1.0,1.5,0.9,0.028085833,0.3,0.0
2019-12-23,1.34,1.5,0.9,0.038608333,0.2,0.0
2019-12-24,2.02,1.5,0.9,0.031675833,0.8,0.0
2019-12-25,2.23,1.5,0.9,0.028251667,1.4,0.0
2019-12-26,3.1,1.5,0.9,0.022516667,1.4,0.0
2019-12-27,2.22,1.5,0.9,0.031784167,1.1,0.2
2019-12-28,3.34,1.5,0.9,0.026928333,0.4,0.0
2019-12-29,3.86,1.5,0.9,0.0283125,0.4,0.0
2019-12-30,2.67,1.1,0.9,0.032578333,0.4,0.9
2019-12-31,3.44,1.4,0.6,0.026185,1.4,0.1
2020-01-01,3.69,1.5,0.9,0.03014,1.5,0.3
2020-01-02,3.55,1.5,0.9,0.031726667,1.5,0.3
2020-01-03,3.4,1.5,0.9,0.039634167,1.2,0.1
2020-01-04,3.24,1.5,0.9,0.040623333,1.2,0.0
2020-01-05,3.18,1.5,0.9,0.034519167,1.2,0.0
2020-01-06,3.63,1.5,0.9,0.040339167,1.2,0.0
2020-01-07,3.3,1.4,0.9,0.033265,1.4,0.0
2020-01-08,3.16,1.5,0.9,0.040585833,1.8,0.1
2020-01-09,2.82,1.5,0.9,0.03861,1.5,0.4
2020-01-10,2.98,1.5,0.9,0.038435,1.9,0.3
2020-01-11,4.19,1.5,0.9,0.035618333,1.9,0.0
2020-01-12,3.7,1.5,0.9,0.033819167,1.9,0.1
2020-01-13,3.39,1.4,0.9,0.029520833,2.1,0.2
2020-01-14,2.94,1.5,0.9,0.032776667,2.4,0.7
2020-01-15,3.51,1.5,0.9,0.033255833,2.4,0.8
2020-01-16,3.23,1.5,0.9,0.030149167,2.8,0.8
2020-01-17,3.52,1.4,0.9,0.026366667,2.8,1.0
2020-01-18,4.57,1.5,0.9,0.0317025,2.8,0.9
2020-01-19,4.1,1.5,0.9,0.028379167,3.4,1.2
2020-01-20,3.66,1.5,0.9,0.02353,3.1,1.3
2020-01-21,4.76,1.5,0.9,0.024471667,4.1,2.0
2020-01-22,4.0,1.5,0.9,0.022375833,4.1,2.1
2020-01-23,3.17,1.5,0.9,0.023505,4.1,2.2
2020-01-24,4.77,1.5,0.9,0.022975,4.1,2.0
2020-01-25,5.19,1.5,0.9,0.0242975,4.1,2.0
2020-01-26,4.35,1.5,0.9,0.0352275,4.1,1.9
