Time,Heat_cons,ElecHigh,ElecLow,CO2_cons,Irr,Drain
2019-12-16,2.71,1.1,0.0,0.007,0.0,0.0
2019-12-17,0.92,1.0,0.0,0.009,0.0,0.0
2019-12-18,0.97,1.0,0.7,0.014,0.0,0.0
2019-12-19,0.1,0.9,0.5,0.025,0.0,0.0
2019-12-20,2.24,0.8,0.5,0.017,0.76,0.0
2019-12-21,3.38,0.8,0.6,0.007,0.52,0.0
2019-12-22,3.24,0.8,0.6,0.008,0.52,0.0
2019-12-23,3.0,0.8,0.6,0.01,0.24,6.11
2019-12-24,2.67,1.0,0.6,0.012,1.08,0.19
2019-12-25,2.72,1.0,0.6,0.012,4.32,0.19
2019-12-26,2.85,1.0,0.6,0.011,1.44,0.19
2019-12-27,3.11,1.1,0.6,0.015,1.44,0.19
2019-12-28,3.23,1.5,0.9,0.019,0.72,0.38
2019-12-29,3.44,1.0,0.6,0.016,0.72,0.4
2019-12-30,3.42,1.0,0.6,0.019,0.72,1.05
2019-12-31,2.85,1.0,0.6,0.018,2.16,0.77
2020-01-01,3.32,1.0,0.6,0.017,2.16,1.02
2020-01-02,3.34,1.3,0.6,0.02,2.16,1.03
2020-01-03,3.24,1.4,0.6,0.036,1.68,0.53
2020-01-04,2.87,1.5,0.9,0.066,1.68,0.4
2020-01-05,2.96,1.5,0.9,0.063,1.68,0.42
2020-01-06,3.36,1.3,0.6,0.045,1.44,0.09
2020-01-07,4.27,1.3,0.6,0.039,1.92,0.56
2020-01-08,2.55,1.3,0.6,0.073,1.92,0.71
2020-01-09,2.71,1.3,0.6,0.054,1.92,0.81
2020-01-10,4.11,1.3,0.6,0.049,2.16,0.51
2020-01-11,4.17,1.3,0.6,0.046,2.16,0.27
2020-01-12,4.04,1.3,0.6,0.054,2.16,0.25
2020-01-13,3.72,1.3,0.6,0.045,2.16,0.27
2020-01-14,2.44,1.5,0.9,0.082,2.16,0.37
2020-01-15,2.91,1.5,0.9,0.099,2.16,0.4
2020-01-16,3.41,1.2,0.9,0.056,2.16,0.45
2020-01-17,2.98,1.4,0.9,0.083,2.16,0.43
2020-01-18,3.95,1.3,0.8,0.057,2.16,0.14
2020-01-19,4.38,1.4,0.6,0.049,2.64,0.08
2020-01-20,3.47,1.5,0.9,0.049,2.16,0.3
2020-01-21,4.16,1.5,0.9,0.046,2.16,0.24
2020-01-22,3.73,1.5,0.9,0.052,2.16,0.13
2020-01-23,2.87,1.5,0.9,0.057,2.16,0.19
2020-01-24,3.13,1.5,0.9,0.047,2.88,0.23
2020-01-25,3.32,1.5,0.9,0.045,2.64,0.48
2020-01-26,2.87,1.5,0.9,0.063,3.36,0.67
